endpoint,selected_model,selected_calibrator,validation_pr_auc,validation_brier,test_n,test_positive_prevalence,test_threshold,test_roc_auc,test_pr_auc,test_mcc,test_accuracy,test_balanced_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_brier,test_ece,test_nll,test_recall_at_precision_0.80,test_precision_at_recall_0.80,test_tn,test_fp,test_fn,test_tp
herg_blockade,svm,isotonic,0.8635592202515033,0.15578881688482124,1883,0.5071694105151354,0.7066666666666667,0.8254530375519047,0.8208079356723554,0.4753408132614815,0.7312798725438131,0.7327783670337606,0.6282722513089005,0.8372844827586207,0.7989347536617842,0.7033997655334114,0.17208573181317338,0.05197848930946954,0.5163316517655822,0.5099476439790576,0.7045045045045045,777,151,355,600
ames_mutagenicity,svm,isotonic,0.87834859049909,0.1522983986859556,1120,0.5473214285714286,0.7391304347826086,0.8635787394100857,0.8791289453857899,0.5567274972246276,0.7660714285714286,0.7760649439655588,0.6704730831973899,0.8816568047337278,0.8726114649681529,0.7583025830258303,0.15170481928265195,0.03820672918741206,0.474945165914945,0.766721044045677,0.7993579454253612,447,60,202,411
SR-p53,xgboost,isotonic,0.31328093622188496,0.05932595928206243,986,0.08519269776876268,0.2857142984867096,0.7808111603843313,0.3225371375569998,0.3530055923744837,0.9168356997971603,0.6360600781332488,0.2976190476190476,0.9745011086474501,0.5208333333333334,0.3787878787878788,0.06640680901789223,0.010839731525188908,0.25108389664741676,0.0,0.12857142857142856,879,23,59,25
SR-ATAD5,svm,isotonic,0.2277152826800799,0.03537549992601426,1027,0.06426484907497566,0.23076923076923078,0.7710402673982278,0.1866951544304205,0.24295670388174745,0.9201557935735151,0.6045627975908934,0.24242424242424243,0.9667013527575442,0.3333333333333333,0.2807017543859649,0.05598394229896706,0.02864255781622353,0.23493155971870647,0.015151515151515152,0.10810810810810811,929,32,50,16
SR-ARE,svm,isotonic,0.35730386059535657,0.11871204501831933,847,0.20543093270365997,0.2903225806451613,0.8072065378900446,0.5039178141320318,0.4131487954627244,0.781582054309327,0.7283265870779321,0.6379310344827587,0.8187221396731055,0.47639484978540775,0.5454545454545454,0.13389167818923495,0.05089680349246786,0.4493679179772915,0.06321839080459771,0.3627450980392157,551,122,63,111
SR-MMP,svm,isotonic,0.6140952087921397,0.08636426010649988,842,0.2209026128266033,0.4392523364485981,0.8759793797534751,0.6434611747072793,0.5345305052841579,0.8254156769596199,0.7858805402570155,0.7150537634408602,0.8567073170731707,0.5859030837004405,0.6440677966101694,0.11293211024899748,0.03762539955449628,0.38558894366234275,0.3118279569892473,0.49691358024691357,562,94,53,133
