endpoint,molecule_id,reference_n,mean_knn_similarity,minimum_knn_similarity,descriptor_distance,descriptor_ad,latent_distance,latent_ad,scaffold_novelty
herg_blockade,XNXUDGXKTVZKLB-GOSISDBHSA-N,8971,0.5285938298411847,0.4642857142857143,2.4536234142223727,inside,12.936863017063564,inside,True
herg_blockade,AUTMMRXGMHRYPS-OSBDVLARSA-N,8971,0.2832398777692896,0.24285714285714285,4.054733285958493,inside,11.329491944915668,inside,True
herg_blockade,CJSJNSBZZGUXSR-SNVBAGLBSA-N,8971,0.4108963370611651,0.37142857142857144,5.266817697970725,inside,10.57733321356724,inside,True
herg_blockade,SUQZCEUKWPKXEE-UHFFFAOYSA-N,8971,0.24076798047636525,0.23255813953488372,2.7841557797937515,inside,15.13523411947384,inside,True
herg_blockade,LRRPBUZCJGWMNN-FKHAVUOCSA-N,8971,0.7670348514729446,0.71875,3.3998256876843533,inside,31.768904299010416,outside,True
herg_blockade,XEAVDDGTTWTWSB-UHFFFAOYSA-N,8971,0.2444347175133202,0.22666666666666666,3.5993986115829637,inside,11.256993192010516,inside,True
herg_blockade,STCUWCYDLVMFEY-UHFFFAOYSA-N,8971,0.6545621045621045,0.6346153846153846,3.318626321180625,inside,19.408384276986425,inside,True
herg_blockade,CGYKRSBZMBLFJC-PBHICJAKSA-N,8971,0.35789372350117915,0.2972972972972973,2.741665667823363,inside,12.238090162768216,inside,True
herg_blockade,JWGSDBMJBSBRAV-BUHFOSPRSA-N,8971,0.5527587951954149,0.5064935064935064,2.2506869646211265,inside,13.006176988205398,inside,True
herg_blockade,UJROOJDBGFVVCM-PGWJBFNOSA-N,8971,0.7448464173669102,0.7108433734939759,3.355008355991181,inside,16.144572348076476,inside,True
herg_blockade,XMHSFTLIAYTIQQ-ZDUSSCGKSA-N,8971,0.5256262196994463,0.4342105263157895,1.9389808485046862,inside,14.09475617395252,inside,True
herg_blockade,XOVVMEVNXYGYEG-UHFFFAOYSA-N,8971,0.2924497174651973,0.2727272727272727,3.3024616157819935,inside,11.26505716030806,inside,True
herg_blockade,ODKRBJGIPOQDPJ-OAHLLOKOSA-N,8971,0.45185775960276875,0.4318181818181818,2.4335857560583554,inside,10.593915138767821,inside,True
herg_blockade,KPSCTAUZOJQHBV-GWQXNCQPSA-N,8971,0.7021567431237392,0.6619718309859155,2.7437398694178845,inside,21.934149198165198,inside,True
herg_blockade,RNJUEBJYAQKYPA-WNLQSZPLSA-N,8971,0.6219533275713051,0.6067415730337079,2.746389597706857,inside,22.523116961922884,inside,True
herg_blockade,SGTNSNPWRIOYBX-HHHXNRCGSA-N,8971,0.460834114438761,0.39436619718309857,4.125409036394557,inside,16.545320995903936,inside,True
herg_blockade,LSHDMKHXFDYKLP-CQSZACIVSA-N,8971,0.45740732675886403,0.42696629213483145,2.3709127002137986,inside,10.99783666926906,inside,True
herg_blockade,HOPDHEHFNMVVFR-UHFFFAOYSA-N,8971,0.6231042723086787,0.5476190476190477,2.9641977269344038,inside,11.398622764440677,inside,True
herg_blockade,LYLLLJJYBWLGHW-CIZVZKTGSA-N,8971,0.35814482615188464,0.2549019607843137,5.598162134955022,inside,10.77521699157445,inside,True
herg_blockade,OFNLJMKINPWAFW-UHFFFAOYSA-N,8971,0.33737317958315727,0.3176470588235294,3.2639931413153542,inside,14.788275656523519,inside,True
herg_blockade,SEQPRQVDYIFAIS-UHFFFAOYSA-N,8971,0.42434243176178665,0.35,3.575909802551458,inside,10.99138759545558,inside,True
herg_blockade,XMHSFTLIAYTIQQ-UHFFFAOYSA-N,8971,0.5256262196994463,0.4342105263157895,1.9389808485046862,inside,13.917778387630522,inside,True
herg_blockade,PHWDAICGTWFRGW-UHFFFAOYSA-N,8971,0.6600656859391036,0.64,1.902838175251199,inside,11.676542672397254,inside,True
herg_blockade,BRHJRCGJFSUKGB-UHFFFAOYSA-N,8971,0.391,0.3333333333333333,3.5398907729760345,inside,15.19870129624858,inside,True
herg_blockade,ZUBZEOWJXKKPSY-NQIIRXRSSA-N,8971,0.7462023288110246,0.6756756756756757,2.129772517061235,inside,20.878417829579405,inside,True
herg_blockade,KLPJBSUBJNVPFZ-YGRLFVJLSA-N,8971,0.6491141722127638,0.49295774647887325,3.2129992897970223,inside,11.570690119773376,inside,True
herg_blockade,OZKZPUAEFNLTGL-UHFFFAOYSA-N,8971,0.6871187025534852,0.6,3.111884511093031,inside,10.29478117281377,inside,True
herg_blockade,MQYKOKBVZHWQOH-GFCCVEGCSA-N,8971,0.36990820424555365,0.3614457831325301,2.5343768959305146,inside,10.706009129344856,inside,True
herg_blockade,CNHLUIVXXBPRHX-SFHVURJKSA-N,8971,0.667078946878086,0.5975609756097561,2.7772777290940436,inside,10.310430850706105,inside,True
herg_blockade,ZMAHAONSAMATES-FJIDUMEYSA-N,8971,0.4718732087218716,0.43283582089552236,3.1441063583445863,inside,13.090546521486832,inside,True
herg_blockade,KRDDFKSJWNNSAT-UHFFFAOYSA-N,8971,0.3352963891379615,0.26373626373626374,2.1758576999890393,inside,11.477049671975314,inside,True
herg_blockade,DZNKRRCJQVRIHF-HPFZXNJXSA-N,8971,0.5658110666947191,0.5567010309278351,3.0287274855754687,inside,22.1378696687495,inside,True
herg_blockade,UDDLGZQDALRQID-UHFFFAOYSA-N,8971,0.8167058134825964,0.7804878048780488,5.811880821158118,inside,12.83365802963945,inside,True
herg_blockade,FWKBFPQWMNWVEP-UHFFFAOYSA-N,8971,0.7192784890153311,0.6973684210526315,1.9727826606085086,inside,12.519244780080243,inside,True
herg_blockade,DNJDUXGUNICGRU-CQSZACIVSA-N,8971,0.4497214502756,0.30337078651685395,3.441939506828023,inside,11.247101080300423,inside,True
herg_blockade,AXIFLPLKZRNVDP-INIZCTEOSA-N,8971,0.5222676797194622,0.5084745762711864,4.09083366499674,inside,14.642339360979184,inside,True
herg_blockade,XSJFHFJEAPYHDH-UHFFFAOYSA-N,8971,0.4861911465531775,0.3770491803278688,2.271241140101369,inside,14.376944527817754,inside,True
herg_blockade,ZBUMCITULAAXBQ-UHFFFAOYSA-N,8971,0.7906773916773917,0.7333333333333333,3.3033817129358507,inside,18.552034168366504,inside,True
