endpoint,selected_model,selected_calibrator,validation_pr_auc,validation_brier,test_n,test_positive_prevalence,test_threshold,test_roc_auc,test_pr_auc,test_mcc,test_accuracy,test_balanced_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_brier,test_ece,test_nll,test_recall_at_precision_0.80,test_precision_at_recall_0.80,test_tn,test_fp,test_fn,test_tp
herg_blockade,svm,isotonic,0.8635592202515033,0.1557888168848212,1883,0.5071694105151354,0.7066666666666667,0.8254530375519047,0.8208079356723554,0.4753408132614815,0.7312798725438131,0.7327783670337606,0.6282722513089005,0.8372844827586207,0.7989347536617842,0.7033997655334114,0.1720857318131733,0.0519784893094695,0.5163316517655822,0.5099476439790576,0.7045045045045045,777,151,355,600
ames_mutagenicity,svm,isotonic,0.87834859049909,0.1522983986859556,1120,0.5473214285714286,0.7391304347826086,0.8635787394100857,0.8791289453857899,0.5567274972246276,0.7660714285714286,0.7760649439655588,0.6704730831973899,0.8816568047337278,0.8726114649681529,0.7583025830258303,0.1517048192826519,0.038206729187412,0.474945165914945,0.766721044045677,0.7993579454253612,447,60,202,411
SR-p53,xgboost,isotonic,0.3132809362218849,0.0593259592820624,986,0.0851926977687626,0.2857142984867096,0.7808111603843313,0.3225371375569998,0.3530055923744837,0.9168356997971604,0.6360600781332488,0.2976190476190476,0.97450110864745,0.5208333333333334,0.3787878787878788,0.0664068090178922,0.0108397315251889,0.2510838966474167,0.0,0.1285714285714285,879,23,59,25
SR-ATAD5,svm,isotonic,0.2277152826800799,0.0353754999260142,1027,0.0642648490749756,0.2307692307692307,0.7710402673982278,0.1866951544304205,0.2429567038817474,0.9201557935735152,0.6045627975908934,0.2424242424242424,0.9667013527575442,0.3333333333333333,0.2807017543859649,0.055983942298967,0.0286425578162235,0.2349315597187064,0.0151515151515151,0.1081081081081081,929,32,50,16
SR-ARE,svm,isotonic,0.3573038605953565,0.1187120450183193,847,0.2054309327036599,0.2903225806451613,0.8072065378900446,0.5039178141320318,0.4131487954627244,0.781582054309327,0.7283265870779321,0.6379310344827587,0.8187221396731055,0.4763948497854077,0.5454545454545454,0.1338916781892349,0.0508968034924678,0.4493679179772915,0.0632183908045977,0.3627450980392157,551,122,63,111
SR-MMP,svm,isotonic,0.6140952087921397,0.0863642601064998,842,0.2209026128266033,0.4392523364485981,0.8759793797534751,0.6434611747072793,0.5345305052841579,0.8254156769596199,0.7858805402570155,0.7150537634408602,0.8567073170731707,0.5859030837004405,0.6440677966101694,0.1129321102489974,0.0376253995544962,0.3855889436623427,0.3118279569892473,0.4969135802469135,562,94,53,133
