endpoint,selected_model,alpha,validation_n,test_n,test_coverage,mean_prediction_set_size
herg_blockade,svm,0.1,2095,1883,0.9314922995220393,1.4668082846521509
ames_mutagenicity,svm,0.1,1111,1120,0.9330357142857143,1.3928571428571428
SR-p53,xgboost,0.1,786,986,0.9391480730223124,1.7352941176470589
SR-ATAD5,svm,0.1,829,1027,0.9649464459591042,1.7273612463485881
SR-ARE,svm,0.1,680,847,0.8406139315230224,1.421487603305785
SR-MMP,svm,0.1,677,842,0.8717339667458432,1.2612826603325415
