epoch,train_loss,validation_loss,learning_rate,epoch_seconds
1.0,0.6158746654474283,0.61432855659061,0.001,9.244625299994368
2.0,0.5697047970717466,0.7274612685044607,0.001,7.2454089999664575
3.0,0.5582058429718018,0.5700609071387185,0.001,9.801348700013477
4.0,0.5305894767936272,0.6409863515032662,0.001,8.883149500004947
5.0,0.5152209668974334,0.5532976074351205,0.001,8.207093200006057
6.0,0.5111064699631703,0.5479914645353953,0.001,7.553196299995761
7.0,0.4996493424795851,0.5476008256276449,0.001,7.470399999991059
8.0,0.5033607399916347,0.5662556025716994,0.001,8.70229180000024
9.0,0.4820546979391122,0.5255413568682141,0.001,7.054788400011603
10.0,0.48407973896099044,0.5216449648141861,0.001,6.638508999953046
11.0,0.47874131761019745,0.553757960597674,0.001,7.4457781000528485
12.0,0.4718284852142575,0.5477926300631629,0.001,7.4549291000002995
13.0,0.4734725872927074,0.5055922038025327,0.001,8.05697459995281
14.0,0.4677479252030578,0.510480534699228,0.001,7.460893500014208
15.0,0.46687765400620956,0.5045086228185229,0.001,7.0769047000212595
16.0,0.4592338740071164,0.4955371386475033,0.001,7.146161500015296
17.0,0.4490545969220656,0.5283571597602632,0.001,6.4911383999860846
18.0,0.44692609393143956,0.5120348119073443,0.001,6.609495599986985
19.0,0.4376464399355876,0.520813450217247,0.001,6.717514800024219
20.0,0.4376447479936141,0.5012283590104845,0.001,6.600125500001013
21.0,0.4250800873659834,0.49390409721268547,0.001,6.169404999993276
22.0,0.4263023194632953,0.5210463106632233,0.001,6.956189699994866
23.0,0.4194688889421994,0.5372186270025041,0.001,6.381956700002775
24.0,0.4358005734938609,0.5199881825182173,0.001,6.045373999979347
25.0,0.41914580705799637,0.5400207804308997,0.001,15.013197000022046
26.0,0.4111864348001118,0.5173127816783057,0.001,13.827520599996205
27.0,0.41215316762652576,0.4944026254945331,0.001,13.245790699962527
28.0,0.40341350662557385,0.5089333140187793,0.0005,14.868594500003383
29.0,0.3891967286037493,0.5318190389209323,0.0005,11.495197999989614
30.0,0.3879828241806996,0.5396312806341383,0.0005,10.208856699988246
31.0,0.3860876088655448,0.5331292715337541,0.0005,11.91755190002732
32.0,0.3809417393765872,0.5240476710928811,0.0005,9.800518800038844
33.0,0.3755162001787862,0.5230683171086841,0.0005,8.181387200020254
34.0,0.3776093212109578,0.5047855327526728,0.0005,9.98582569998689
35.0,0.37229755954651894,0.5544465018643273,0.00025,11.541593200003263
36.0,0.3623516569031945,0.542817109160953,0.00025,9.16785060003167
37.0,0.35634441089026536,0.554850720696979,0.00025,7.776278800040018
38.0,0.35786019737207436,0.524884906080034,0.00025,8.190414000011515
39.0,0.3549446346639078,0.5495040516058604,0.00025,9.449318400002085
40.0,0.3499923101331614,0.5419289949867461,0.00025,8.281122399959713
41.0,0.34691382510752616,0.5354408389992185,0.00025,7.892503099981695
