endpoint,number,value,state,C
herg_blockade,0,0.7623088436346327,1,2.6890788551555658
herg_blockade,1,0.7729253940116798,1,0.18532293842414965
herg_blockade,2,0.7646061963657018,1,0.9742378760234416
herg_blockade,3,0.7740020580022181,1,0.1603873144570661
herg_blockade,4,0.8260012133069846,1,0.003083293772194663
herg_blockade,5,0.7740443185459994,1,0.15957290600559562
herg_blockade,6,0.8163685105337244,1,0.0065543210288524015
herg_blockade,7,0.7598898959190361,1,26.477492430623958
herg_blockade,8,0.7724072551635847,1,0.19791101173983475
herg_blockade,9,0.7632993568653544,1,1.736288529065214
herg_blockade,10,0.8256285064724864,1,0.0032066435314612785
herg_blockade,11,0.8324845233255705,1,0.0011315272949637123
herg_blockade,12,0.8325381712424993,1,0.00105640543641902
herg_blockade,13,0.8012717636413523,1,0.017640165545886766
herg_blockade,14,0.832455938454912,1,0.001170848241444973
herg_blockade,15,0.7967011707973887,1,0.02439875548938625
herg_blockade,16,0.8325089766759397,1,0.0011389629092179833
herg_blockade,17,0.7946842038437871,1,0.027840772412252045
herg_blockade,18,0.759586238743966,1,91.14880077680775
herg_blockade,19,0.8118031409880794,1,0.008776479165280807
herg_blockade,20,0.7854836816352853,1,0.05397963988073061
herg_blockade,21,0.8324894404990958,1,0.0010735902473929463
herg_blockade,22,0.8285807040371984,1,0.00244289207036349
herg_blockade,23,0.8325225779263528,1,0.0010041034894785403
herg_blockade,24,0.8134013665723308,1,0.007943192706538272
herg_blockade,25,0.8271330533331286,1,0.0028169590678167275
herg_blockade,26,0.8175472183233082,1,0.00597966309840424
herg_blockade,27,0.7900162251408516,1,0.03808410405207886
herg_blockade,28,0.760964632919906,1,6.444162299525131
herg_blockade,29,0.8044670678531906,1,0.014041970318605634
herg_blockade,30,0.8295410632151159,1,0.0021781183274011016
herg_blockade,31,0.8325323910639753,1,0.0011006234766099171
herg_blockade,32,0.8318140511961073,1,0.001517109119988082
herg_blockade,33,0.7827442674295132,1,0.0678796355882931
herg_blockade,34,0.8214899969153092,1,0.004476386005316633
herg_blockade,35,0.8303533506277387,1,0.0019195324228425121
herg_blockade,36,0.7678910003682021,1,0.4346327525991303
herg_blockade,37,0.8061370470115812,1,0.012664695492661493
herg_blockade,38,0.8221140236514907,1,0.004238852852551783
herg_blockade,39,0.8302304660063706,1,0.0019519757932562676
herg_blockade,40,0.7796387529189294,1,0.08904799602773088
herg_blockade,41,0.8325123071163185,1,0.001112281213142917
herg_blockade,42,0.8325099131249013,1,0.0010599650053771665
herg_blockade,43,0.8222853577727107,1,0.004178432148321996
herg_blockade,44,0.8261050398614879,1,0.0030433076653494343
herg_blockade,45,0.830090997345791,1,0.001997550498418349
herg_blockade,46,0.8134409302311176,1,0.007924286014937127
herg_blockade,47,0.7612480558304494,1,5.240400772395439
herg_blockade,48,0.8324733526541062,1,0.0011509843264870278
herg_blockade,49,0.8325314259391255,1,0.0010125691742355815
ames_mutagenicity,0,0.7494204899468901,1,2.6890788551555658
ames_mutagenicity,1,0.7793024486889857,1,0.18532293842414965
ames_mutagenicity,2,0.7557963149002108,1,0.9742378760234416
ames_mutagenicity,3,0.7816074831928534,1,0.1603873144570661
ames_mutagenicity,4,0.846108169380041,1,0.003083293772194663
ames_mutagenicity,5,0.7815227634050911,1,0.15957290600559562
ames_mutagenicity,6,0.8348171531333476,1,0.0065543210288524015
ames_mutagenicity,7,0.7431613792665234,1,26.477492430623958
ames_mutagenicity,8,0.7784667618241876,1,0.19791101173983475
ames_mutagenicity,9,0.7511599087297681,1,1.736288529065214
ames_mutagenicity,10,0.8456395103508422,1,0.0032066435314612785
ames_mutagenicity,11,0.8560237145285038,1,0.0011315272949637123
ames_mutagenicity,12,0.8563742982400304,1,0.00105640543641902
ames_mutagenicity,13,0.8166719717088808,1,0.017640165545886766
ames_mutagenicity,14,0.8558465625682865,1,0.001170848241444973
ames_mutagenicity,15,0.81160001838874,1,0.02439875548938625
ames_mutagenicity,16,0.856009167000891,1,0.0011389629092179833
ames_mutagenicity,17,0.8106114473345912,1,0.025962648646821032
ames_mutagenicity,18,0.7473659026890924,1,11.42299791718422
ames_mutagenicity,19,0.8293335127118329,1,0.008776479165280807
ames_mutagenicity,20,0.7996444614441398,1,0.05397963988073061
ames_mutagenicity,21,0.8563445008725015,1,0.0010735902473929463
ames_mutagenicity,22,0.8479754583388972,1,0.002750722398524104
ames_mutagenicity,23,0.8564407961423537,1,0.001009624218353141
ames_mutagenicity,24,0.8309322273049478,1,0.007975566117450287
ames_mutagenicity,25,0.847592419399205,1,0.0028169590678167275
ames_mutagenicity,26,0.8563652156839958,1,0.0010519860636925757
ames_mutagenicity,27,0.803814737761363,1,0.04132814091753273
ames_mutagenicity,28,0.8439370928691164,1,0.0035978892670213004
ames_mutagenicity,29,0.7412969326891967,1,77.22573344301979
ames_mutagenicity,30,0.7617754417462651,1,0.6752768747539589
ames_mutagenicity,31,0.856269121172451,1,0.0010980203872346694
ames_mutagenicity,32,0.834927490304335,1,0.006488001986481384
ames_mutagenicity,33,0.8531405285314042,1,0.00173355916472961
ames_mutagenicity,34,0.8222063678237433,1,0.012976875143609274
ames_mutagenicity,35,0.8517198431573122,1,0.0020698205956298063
ames_mutagenicity,36,0.8406285641756663,1,0.004500586437514588
ames_mutagenicity,37,0.7907231864047712,1,0.08918722273935188
ames_mutagenicity,38,0.7478703313724887,1,6.665819690510155
ames_mutagenicity,39,0.852239499227721,1,0.001954412367160263
ames_mutagenicity,40,0.8371160417504979,1,0.005629375119564081
ames_mutagenicity,41,0.8561551122006605,1,0.001114900742637727
ames_mutagenicity,42,0.8537317449905173,1,0.0016258482520727729
ames_mutagenicity,43,0.8563853656883544,1,0.001025684520155722
ames_mutagenicity,44,0.8418048452521882,1,0.004110349145471953
ames_mutagenicity,45,0.8252663498993781,1,0.01087380924161432
