endpoint,model,metric,runs,mean,std,ci95_lower,ci95_upper
SR-MMP,random_forest,recall_at_precision_0.80,5,0.2564313868391254,0.08081467644584411,0.15608671256983486,0.356776061108416
SR-MMP,random_forest,precision_at_recall_0.80,5,0.46375696354773555,0.028098527799026045,0.42886803317715716,0.49864589391831393
SR-p53,logistic_regression,roc_auc,5,0.6289531171762162,0.015552858442011569,0.6096416927796109,0.6482645415728214
SR-p53,logistic_regression,pr_auc,5,0.1727221091805645,0.018556691586538287,0.14968093331178917,0.19576328504933982
SR-p53,logistic_regression,mcc,5,0.13329896708688127,0.023318157280083088,0.10434565068774904,0.1622522834860135
SR-p53,logistic_regression,balanced_accuracy,5,0.5765361671167227,0.012833242251644597,0.5606015922326282,0.5924707420008173
SR-p53,logistic_regression,sensitivity,5,0.259548498110949,0.026611381031890462,0.226506104341168,0.29259089188072995
SR-p53,logistic_regression,specificity,5,0.8935238361224964,0.013157786443187184,0.8771862863999373,0.9098613858450555
SR-p53,logistic_regression,precision,5,0.19031220420658995,0.025440206860010396,0.15872401524165855,0.22190039317152135
SR-p53,logistic_regression,f1,5,0.21845917787170327,0.020674345140829532,0.19278858782389627,0.24412976791951027
SR-p53,logistic_regression,brier,5,0.14200260227676903,0.010716998409310556,0.12869569118312107,0.15530951337041699
SR-p53,logistic_regression,ece,5,0.14648604267658166,0.009975298024858472,0.13410007424776177,0.15887201110540156
SR-p53,logistic_regression,nll,5,0.9462942254085558,0.04241541144520267,0.8936285360480476,0.998959914769064
SR-p53,logistic_regression,recall_at_precision_0.80,5,0.0047619047619047615,0.010647942749998997,-0.008459262405703803,0.017983071929513324
SR-p53,logistic_regression,precision_at_recall_0.80,5,0.10511319662880418,0.01796101878042942,0.08281164623808325,0.1274147470195251
SR-p53,random_forest,roc_auc,5,0.755983449420823,0.021554935050121356,0.7292194625854668,0.7827474362561792
SR-p53,random_forest,pr_auc,5,0.2873049759835093,0.04431275951205708,0.2322834178363265,0.3423265341306921
