epoch,train_loss,validation_loss,validation_pr_auc,learning_rate
1.0,0.5234104705528474,0.5305437252802008,0.8636194886961763,0.001
2.0,0.33874168593279075,0.558522113982369,0.8600909301284976,0.001
3.0,0.24972218474451924,0.6379556831191567,0.8486720475802836,0.001
4.0,0.19900336252971434,0.7588403891114628,0.8508645485233417,0.001
5.0,0.16639505982608863,0.7367313714588389,0.8657229996414876,0.001
6.0,0.1362062969677885,0.854660244549022,0.848595747831624,0.001
7.0,0.13269656712950115,1.0254088429843677,0.8238519300776852,0.001
8.0,0.11405039206147194,0.9521534407840055,0.8483388626275994,0.0005
9.0,0.08467577565723741,1.0279796544243307,0.8494459682736534,0.0005
10.0,0.05469866771198494,1.0782089864506441,0.8418604938546055,0.0005
11.0,0.04193901919930334,1.100338686915005,0.8450569361528546,0.0005
12.0,0.03666237668908188,1.1331379904466516,0.8473935412701298,0.0005
13.0,0.030865647016801466,1.2351098446285023,0.8385792302444138,0.0005
14.0,0.040946577688757806,1.2407573601778816,0.8451338555031224,0.0005
15.0,0.03291334921467892,1.2720860277905184,0.8388024928348687,0.00025
16.0,0.023777493951238796,1.35029039663427,0.8365556353292427,0.00025
17.0,0.01984772936795169,1.333563993958866,0.8378439145458161,0.00025
18.0,0.015941281468463197,1.3479461845229654,0.8373515292213254,0.00025
19.0,0.025199625588638683,1.4306274932973526,0.8383935227870698,0.00025
20.0,0.014657021168960442,1.3444318210377413,0.842880354982216,0.00025
21.0,0.01176188201938664,1.4211599546320297,0.8369037109131899,0.00025
