endpoint,model,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp
SR-ARE,fingerprint_mlp,847,0.20543093270365997,0.5,0.763893870301105,0.5014589365111585,0.3447479430421121,0.7119244391971665,0.705799217775956,0.6954022988505747,0.7161961367013373,0.38782051282051283,0.49794238683127573,0.20088183129183998,0.2017354718777829,0.6058862525285396,0.11494252873563218,0.3160270880361174,482,191,53,121
SR-ATAD5,fingerprint_mlp,1027,0.06426484907497566,0.5,0.7273279096900326,0.17513402915998602,0.16739345402986233,0.6504381694255112,0.6650506101598713,0.6818181818181818,0.6482830385015609,0.1174934725848564,0.20044543429844097,0.2174297926110631,0.37892260024703345,0.6272057098850629,0.0,0.10166358595194085,623,338,21,45
SR-MMP,fingerprint_mlp,842,0.2209026128266033,0.5,0.8401562090217677,0.6352215163004525,0.48713240989254836,0.8087885985748219,0.7598019931812221,0.6720430107526881,0.8475609756097561,0.5555555555555556,0.6082725060827251,0.14345005234069627,0.12086090283491041,0.46348608230379323,0.3010752688172043,0.436950146627566,556,100,61,125
SR-p53,fingerprint_mlp,986,0.08519269776876268,0.5,0.7622479146869391,0.31874484272559817,0.27868920383201656,0.8620689655172413,0.6655052264808362,0.42857142857142855,0.9024390243902439,0.2903225806451613,0.34615384615384615,0.1368604360882461,0.251770210518496,0.44670803208038823,0.023809523809523808,0.13793103448275862,814,88,48,36
ames_mutagenicity,fingerprint_mlp,1120,0.5473214285714286,0.5,0.8526533908639569,0.8790324615631269,0.5154582962972493,0.7482142857142857,0.7566821433053081,0.66721044045677,0.8461538461538461,0.839835728952772,0.7436363636363637,0.16745000291428225,0.09677360571721304,0.5067568782373915,0.766721044045677,0.777602523659306,429,78,204,409
herg_blockade,fingerprint_mlp,1883,0.5071694105151354,0.5,0.8071481765661672,0.8217543464460686,0.4199925025648517,0.7073818374933617,0.7060344827586207,0.8,0.6120689655172413,0.6797153024911032,0.7349687349687349,0.188668381440957,0.0838735220484946,0.5623290707749411,0.6335078534031413,0.6797153024911032,568,360,191,764
