endpoint,model,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp
herg_blockade,multitask_gnn,1883,0.5071694105151354,0.5,0.682100785340314,0.686883580231765,0.2649231086004257,0.6287838555496548,0.6267196244809532,0.7706806282722513,0.4827586206896552,0.6052631578947368,0.6780285582680792,0.22742590982062239,0.054969034631762795,0.6472505151775398,0.21151832460732983,0.5899613899613899,448,480,219,736
ames_mutagenicity,multitask_gnn,1120,0.5473214285714286,0.5,0.7328976707819725,0.7551015824431535,0.32542462948749656,0.66875,0.6571441901470763,0.7797716150081566,0.534516765285996,0.6694677871148459,0.720422004521477,0.20717965494980456,0.03265029659295189,0.6004964692929184,0.35889070146818924,0.6587926509186351,271,236,135,478
SR-p53,multitask_gnn,986,0.08519269776876268,0.5,0.8144335339457291,0.3157638905803059,0.23726028474139024,0.552738336713996,0.7123587794319501,0.9047619047619048,0.5199556541019955,0.14931237721021612,0.2563237774030354,0.2249121969941409,0.3430628084961814,0.6170717145938033,0.0,0.19154929577464788,469,433,8,76
SR-ATAD5,multitask_gnn,1027,0.06426484907497566,0.5,0.8645508151231356,0.2421175081795145,0.2515659484407932,0.5832521908471275,0.7561488979282944,0.9545454545454546,0.5577523413111343,0.1290983606557377,0.22743682310469315,0.2289590998994158,0.35946732018045,0.6295580893267477,0.0,0.19322033898305085,536,425,3,63
SR-ARE,multitask_gnn,847,0.20543093270365997,0.5,0.7729671568376288,0.49237520190714884,0.29130215223472905,0.5655253837072018,0.677593038547591,0.867816091954023,0.487369985141159,0.30443548387096775,0.4507462686567164,0.24903326433711168,0.32509613872770715,0.6951368373445471,0.10344827586206896,0.349009900990099,328,345,23,151
SR-MMP,multitask_gnn,842,0.2209026128266033,0.5,0.8184500393391031,0.5440562578596297,0.36445679058134856,0.6377672209026128,0.7193810647783897,0.8655913978494624,0.573170731707317,0.36507936507936506,0.5135566188197768,0.2306444957061908,0.29069006855150514,0.6649336057117703,0.0,0.39946380697050937,376,280,25,161
