endpoint,model,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp
herg_blockade,multitask_fingerprint_mlp,1883,0.5071694105151354,0.5,0.7959063007763136,0.8243616758103592,0.42558202023823943,0.7089750398300584,0.710149056688933,0.6282722513089005,0.7920258620689655,0.7566204287515763,0.6864988558352403,0.18307974189143225,0.043956386287455775,0.540304484762289,0.5895287958115183,0.675198587819947,735,193,355,600
ames_mutagenicity,multitask_fingerprint_mlp,1120,0.5473214285714286,0.5,0.8238494679704368,0.856216835448409,0.48936169921490463,0.74375,0.7457825355303082,0.7243066884176182,0.7672583826429981,0.7900355871886121,0.7557446808510638,0.17538966196372938,0.06194242382106108,0.5287970969913697,0.7047308319738989,0.7484756097560976,389,118,169,444
SR-p53,multitask_fingerprint_mlp,986,0.08519269776876268,0.5,0.7527452222574175,0.30238671952432533,0.1496873842601444,0.4645030425963489,0.6317442719881745,0.8333333333333334,0.43015521064301554,0.11986301369863013,0.20958083832335328,0.32725221899086276,0.4762283088091542,0.8933967650206781,0.011904761904761904,0.12546125461254612,388,514,14,70
SR-ATAD5,multitask_fingerprint_mlp,1027,0.06426484907497566,0.5,0.7974489956800052,0.21545071637234792,0.1844643976141473,0.4780915287244401,0.6858464982814618,0.9242424242424242,0.4474505723204995,0.10304054054054054,0.18541033434650456,0.3139287171998496,0.4785204798385806,0.8598424638235177,0.0,0.1606060606060606,430,531,5,61
SR-ARE,multitask_fingerprint_mlp,847,0.20543093270365997,0.5,0.7690261481443528,0.5015383133717874,0.30420134142215505,0.5631641086186541,0.6846296391180339,0.8908045977011494,0.4784546805349183,0.30632411067193677,0.45588235294117646,0.26902731284804704,0.3615477442776579,0.7403162796154852,0.12643678160919541,0.35989717223650386,322,351,19,155
SR-MMP,multitask_fingerprint_mlp,842,0.2209026128266033,0.5,0.839541535536323,0.6120717218768364,0.38376296800617654,0.6199524940617577,0.7291338840807763,0.9247311827956989,0.5335365853658537,0.3598326359832636,0.5180722891566265,0.24374902125348266,0.3316663757957642,0.6909597357110173,0.1881720430107527,0.4658385093167702,350,306,14,172
