epoch,train_loss,validation_loss,validation_pr_auc,learning_rate
1.0,0.9803975260618961,1.086730142434438,0.606061710140174,0.001
2.0,0.44717566578677204,0.9716810186704,0.5492801328203922,0.001
3.0,0.242433613448432,1.1464352011680603,0.5746569994703565,0.001
4.0,0.1469792899760333,1.3556788563728333,0.5519092631979965,0.001
5.0,0.10491499304771423,1.5056343078613281,0.5773693591685295,0.001
6.0,0.08180925001700719,1.7133323550224304,0.5517300322830825,0.001
7.0,0.07790510458025066,1.9894882639249165,0.5138413704951007,0.001
8.0,0.057752286620212326,2.036028424898783,0.5453108317842665,0.001
9.0,0.06799437819669645,2.4062235951423645,0.5252310233990648,0.0005
10.0,0.03669570815382582,2.2665926019350686,0.5551210883755696,0.0005
11.0,0.026405572820680612,2.2476274768511453,0.5436972935673811,0.0005
12.0,0.019008911242990784,2.2675590912501016,0.5654232538065493,0.0005
13.0,0.01670548977386771,2.2998619874318442,0.5566237081495149,0.0005
14.0,0.016119615527603662,2.2411433855692544,0.5613023858589272,0.0005
15.0,0.011567716056368115,2.30120450258255,0.5516220483698382,0.0005
16.0,0.011909192336271659,2.503068129221598,0.5486009641368103,0.00025
17.0,0.014065759221204755,2.3695905804634094,0.5558210225960905,0.00025
18.0,0.009307171821340242,2.3478649258613586,0.5549249459074206,0.00025
19.0,0.012699058561614065,2.3603903452555337,0.5426188162711206,0.00025
20.0,0.00844578368053066,2.3842454751332602,0.5482053922745472,0.00025
21.0,0.010273002656035576,2.45539128780365,0.5520979755713059,0.00025
22.0,0.009094793003786242,2.37337334950765,0.5533747514523738,0.00025
