epoch,train_loss,validation_loss,learning_rate
1.0,0.9760244448125148,0.9706205954154332,0.001
2.0,0.9546221065264876,0.9603702982266744,0.001
3.0,0.9462956051245385,0.9187033295631408,0.001
4.0,0.9278673762488964,0.9160016536712646,0.001
5.0,0.9239578482070704,0.9305553555488586,0.001
6.0,0.9091923061664814,0.9177148739496866,0.001
7.0,0.9015542518708014,0.9110744853814443,0.001
8.0,0.8897922502623664,0.9008806318044662,0.001
9.0,0.8855145117501632,1.112999858458837,0.001
10.0,0.8881678153964354,0.9345405886570612,0.001
11.0,0.8707567773839479,0.9041918913523356,0.001
12.0,0.8597613288937503,0.9072556138038635,0.001
13.0,0.861418025040712,0.8760265449682871,0.001
14.0,0.846632723205833,0.937564476331075,0.001
15.0,0.8497849148447796,0.9029113640387852,0.001
16.0,0.8354545572111683,0.928112517297268,0.001
17.0,0.8229390001425179,0.870730156203111,0.001
18.0,0.8046194565979811,0.86947454114755,0.001
19.0,0.795636031790019,0.8671685596307118,0.001
20.0,0.793848360845265,0.856843035419782,0.001
21.0,0.7962926899660445,0.8354010244210561,0.001
22.0,0.7868822368669681,0.84422560830911,0.001
23.0,0.773206554753806,0.9368041401108106,0.001
24.0,0.7510163357821844,0.8861079980929693,0.001
25.0,0.7540822251295958,0.9350748633344969,0.001
26.0,0.7423079882257728,0.8899450893203418,0.001
27.0,0.7400229805045657,0.9209416225552559,0.001
28.0,0.7350726914875824,0.870373360812664,0.0005
29.0,0.7026044752008171,0.9043819243709247,0.0005
30.0,0.6889948254204138,0.9170058146119118,0.0005
31.0,0.6849526288688824,0.888072577615579,0.0005
32.0,0.6854503555323488,0.8723429600397746,0.0005
33.0,0.6779645162243997,0.8613916819294294,0.0005
34.0,0.6674445337719388,0.9140853916605314,0.0005
35.0,0.6669494253332897,0.989365869263808,0.00025
36.0,0.6519659072908449,0.9018433541059494,0.00025
37.0,0.6405725359489414,1.0008719305197398,0.00025
38.0,0.6320142847449122,0.9815038025379181,0.00025
39.0,0.6380856753891087,0.9893677398562432,0.00025
40.0,0.6204603168058567,1.0649846653143564,0.00025
41.0,0.6362657159246424,1.0422535101572672,0.00025
