endpoint,model,best_epoch,best_validation_loss,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp
herg_blockade,GIN,39,0.5565629348610387,1883,0.5071694105151354,0.5,0.7918340404405129,0.7851003441764124,0.4310223029981038,0.7153478491768455,0.7148018595414335,0.7528795811518325,0.6767241379310345,0.7055937193326791,0.7284701114488349,0.18892696807246792,0.04777614924138472,0.5837392053781799,0.5099476439790576,0.6806049822064056,628,300,236,719
ames_mutagenicity,GIN,21,0.49390409721268547,1120,0.5473214285714286,0.5,0.8625378469775508,0.8707311165033076,0.5981425047489144,0.8,0.7998976804347616,0.800978792822186,0.7988165680473372,0.8279932546374368,0.814262023217247,0.14797302849940283,0.037476447777797656,0.4709000545894571,0.8401305057096248,0.8282828282828283,405,102,122,491
SR-p53,GIN,12,1.2836022056066072,986,0.08519269776876268,0.5,0.7852391510928096,0.3224966875870875,0.1827684745444751,0.5010141987829615,0.662496040544821,0.8571428571428571,0.4678492239467849,0.13043478260869565,0.22641509433962265,0.28787926246927004,0.4325929705119568,0.7882158941887552,0.0,0.1597222222222222,422,480,12,72
SR-ATAD5,GIN,16,1.4388669591683607,1027,0.06426484907497566,0.5,0.7662630467000914,0.14425702316348576,0.21608825390345374,0.5287244401168452,0.7199571153785513,0.9393939393939394,0.5005202913631633,0.11439114391143912,0.20394736842105263,0.2787642174925626,0.4204710745155108,0.7689975998407665,0.0,0.14324324324324325,481,480,4,62
SR-ARE,GIN,14,1.0510252768343145,847,0.20543093270365997,0.5,0.7224214787108675,0.40129512697974623,0.23440017598970522,0.5596221959858324,0.6440496319448002,0.7873563218390804,0.5007429420505201,0.28964059196617337,0.4234930448222566,0.23738415288705475,0.29113415785688007,0.6663654669957553,0.005747126436781609,0.2782101167315175,337,336,37,137
SR-MMP,GIN,26,0.8113611503080889,842,0.2209026128266033,0.5,0.871025111460792,0.6412103744364723,0.45598317128084664,0.7399049881235155,0.7695220298977183,0.8225806451612904,0.7164634146341463,0.45132743362831856,0.5828571428571429,0.1725594211384574,0.20642540306409188,0.5483412501725081,0.043010752688172046,0.4790996784565916,470,186,33,153
