epoch,train_loss,validation_loss,validation_pr_auc,learning_rate
1.0,1.2459369018673896,1.312075138092041,0.15589936073785468,0.001
2.0,0.5554993469268084,1.523732134274074,0.17205340946000303,0.001
3.0,0.24891145341098309,1.6804049951689584,0.17243178003865442,0.001
4.0,0.12974861804395915,2.3688125056879863,0.24585040663005514,0.001
5.0,0.09622920956462622,2.3092539310455322,0.20808922714615682,0.001
6.0,0.09288371400907636,2.2613942452839444,0.23052968710883998,0.001
7.0,0.06621474041603506,2.8437448229108537,0.19460297690308107,0.001
8.0,0.051253795996308325,2.4575534675802504,0.24027881384302355,0.0005
9.0,0.041616130899637935,2.9878628168787276,0.23422257228461238,0.0005
10.0,0.0251542407553643,2.860429525375366,0.24838640639557258,0.0005
11.0,0.020642736949957906,2.9680062574999675,0.24015217625471064,0.0005
12.0,0.01691387239843607,3.107028910091945,0.25208808123061704,0.0005
13.0,0.01990791824646294,2.9422622408185686,0.24695336440261864,0.0005
14.0,0.017925981391454116,3.294894422803606,0.27383678529224786,0.0005
15.0,0.024853093433193862,3.303793396268572,0.26691057033515786,0.00025
16.0,0.017207977658836172,3.0101184163774763,0.2543410080464842,0.00025
17.0,0.012461448897374794,3.0455425637108937,0.25334142605717275,0.00025
18.0,0.010737848910503089,3.209773097719465,0.25137583466444446,0.00025
19.0,0.00934468898922205,3.1227409499032155,0.2515185756225537,0.00025
20.0,0.010279248078586534,3.270967049258096,0.2537103818238096,0.00025
21.0,0.009142671409063042,3.3681818076542447,0.24786751719930972,0.00025
