epoch,train_loss,validation_loss,validation_pr_auc,learning_rate
1.0,1.103478988011678,1.3503881096839905,0.32678659022624135,0.001
2.0,0.570592510880846,1.3397198716799419,0.30426229736031224,0.001
3.0,0.3241914479118405,1.4116572340329487,0.34702375122196977,0.001
4.0,0.2007308489445484,1.6877795259157817,0.3018616224669649,0.001
5.0,0.1527242547634876,1.9821082750956218,0.3171940653332067,0.001
6.0,0.1273177129526933,2.294126570224762,0.31619361625846465,0.001
7.0,0.09317677202775623,2.1204838256041207,0.3501062783973772,0.001
8.0,0.06905216932522529,2.6398508747418723,0.34488301967830726,0.001
9.0,0.07538601812539679,2.6745709975560508,0.33211200072917896,0.0005
10.0,0.05291343429549174,2.6087268789609275,0.338477915416651,0.0005
11.0,0.04650093519100637,2.768201172351837,0.32715470689748705,0.0005
12.0,0.032101666695918095,2.768166700998942,0.3296646451734765,0.0005
13.0,0.027138676254473852,3.0617074569066367,0.3300781393969568,0.0005
14.0,0.02779426991544438,3.0143471161524453,0.32692480387395034,0.0005
15.0,0.023672917519103397,3.078500211238861,0.33299125680005265,0.0005
16.0,0.021222432524981825,2.896047135194143,0.33858508540802557,0.00025
17.0,0.01956506192006848,3.13329017162323,0.3307796542150868,0.00025
18.0,0.019485704219815405,2.989853878815969,0.3340470681810374,0.00025
19.0,0.018116099759936333,3.0143877466519675,0.3391148750726889,0.00025
20.0,0.016605654985389927,3.079278826713562,0.3421052511724099,0.00025
21.0,0.017702028127104946,3.0521370569864907,0.3389499902802493,0.00025
22.0,0.016974450067870996,3.265156308809916,0.3284024528453009,0.00025
