epoch,train_loss,validation_loss,learning_rate,epoch_seconds
1.0,1.2588163653486653,1.43805147592838,0.001,7.4737143000238575
2.0,1.1995436455074109,1.4108746922933137,0.001,7.771341599989682
3.0,1.1727988390546096,1.3701502497379596,0.001,6.744399300019722
4.0,1.1526343540141457,1.4437034817842336,0.001,7.468315799953416
5.0,1.1490114605740498,1.3957020961321318,0.001,7.574908500013407
6.0,1.1260603497687138,1.6652691135039697,0.001,6.960313400020823
7.0,1.1199974002022492,1.3467952379813561,0.001,7.203261399990879
8.0,1.096064464826333,1.4147701630225549,0.001,7.248240899993107
9.0,1.067592908677302,1.2930365984256451,0.001,8.487336199963465
10.0,1.0372869160614515,1.504782539147597,0.001,9.177146299974993
11.0,1.077001084622584,1.4169986248016357,0.001,9.252276499988511
12.0,1.027187877971875,1.2836022056066072,0.001,7.169766500010155
13.0,1.0461751720622967,1.33423297221844,0.001,7.905217899999116
14.0,0.9951941676829991,1.3062918736384466,0.001,7.661869100003969
15.0,0.9985935123343217,1.4224333556798787,0.001,7.481583499989938
16.0,0.9917179412747684,1.28421223622102,0.001,6.750905100023374
17.0,0.9424376370091188,1.6521552480184114,0.001,8.16099409997696
18.0,0.9438004109420275,1.473437135036175,0.001,7.19926210003905
19.0,1.0056129972401417,1.3970504311414866,0.0005,7.828016599989496
20.0,0.9067864551355964,1.3973294955033522,0.0005,7.466508999990765
21.0,0.8699919812773403,1.31024241905946,0.0005,8.136610399989877
22.0,0.8547367214372283,1.3687357031382048,0.0005,7.610994299990125
23.0,0.860203009490904,1.387387406367522,0.0005,8.562944500008598
24.0,0.8076282896493611,1.4353071611661177,0.0005,7.432637999998406
25.0,0.8092224731257087,1.7423014113536248,0.0005,7.625597900012508
26.0,0.8274545191149962,1.6025859392606294,0.00025,7.40979280002648
27.0,0.7817030578459564,1.3806908222345204,0.00025,8.51243580004666
28.0,0.7430162182764003,1.658286057985746,0.00025,7.482189300004393
29.0,0.7509296462920151,1.392458324248974,0.00025,8.743774499977008
30.0,0.7239142083807996,1.771800336929468,0.00025,7.561199799994938
31.0,0.7356339904822802,1.4477321551396296,0.00025,7.576307600014843
32.0,0.7138104497602111,1.4780623018741608,0.00025,9.021300100022927
