epoch,train_loss,validation_loss,learning_rate
1.0,0.8950826759849276,0.7554999629656474,0.001
2.0,0.6333095644201551,0.8163563668727875,0.001
3.0,0.4144263901880809,1.2627858956654867,0.001
4.0,0.2915532849729061,1.3953061272700629,0.001
5.0,0.20713075548410415,1.714135573307673,0.001
6.0,0.1607814538691725,2.067729459206263,0.001
7.0,0.11971120618815934,2.101260835925738,0.001
8.0,0.09828222358067121,2.237033784389496,0.0005
9.0,0.06611398422558393,2.606735775868098,0.0005
10.0,0.04722468031437269,2.6402272641658784,0.0005
11.0,0.03891270728781819,2.817397717634837,0.0005
12.0,0.0328048942294637,2.9640250901381173,0.0005
13.0,0.03144753821792879,3.1103240112463633,0.0005
14.0,0.029416391454703573,3.120798710982005,0.0005
15.0,0.025944936702892718,3.2307266354560853,0.00025
16.0,0.023869418597314507,3.30791312456131,0.00025
17.0,0.018849774524902125,3.4390411178270974,0.00025
18.0,0.01757604535835396,3.33507603208224,0.00025
19.0,0.016651370531430336,3.413555234670639,0.00025
20.0,0.01262997433493313,3.535211217403412,0.00025
21.0,0.013408958768871214,3.578364457686742,0.00025
