endpoint,model,split_strategy,partition,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp
herg_blockade,dummy,global_scaffold,validation,2095,0.5498806682577566,0.5,0.5,0.5498806682577566,0.0,0.45011933174224344,0.5,0.0,1.0,0.0,0.0,0.25146417326836384,0.06286695741169707,0.6960762237676688,0.0,0.5498806682577566,943,0,1152,0
herg_blockade,dummy,global_scaffold,test,1883,0.5071694105151354,0.5,0.5,0.5071694105151354,0.0,0.4928305894848646,0.5,0.0,1.0,0.0,0.0,0.2503548517820155,0.020155699669075933,0.6938570817127248,0.0,0.5071694105151354,928,0,955,0
herg_blockade,logistic_regression,global_scaffold,validation,2095,0.5498806682577566,0.5,0.7465613769588784,0.7631884518305811,0.3936188485685957,0.6968973747016707,0.6977463694473902,0.6892361111111112,0.7062566277836692,0.7413632119514473,0.7143499775078722,0.259321488961645,0.2297840636203939,1.529314213084622,0.4522569444444444,0.6889880952380952,666,277,358,794
herg_blockade,logistic_regression,global_scaffold,test,1883,0.5071694105151354,0.5,0.7409336071493049,0.7464676283856722,0.35824137020050123,0.6792352628783855,0.679062669254378,0.6910994764397905,0.6670258620689655,0.6811145510835913,0.6860706860706861,0.270122687809709,0.24049573760374288,1.46940451384707,0.2942408376963351,0.6293245469522241,619,309,295,660
herg_blockade,random_forest,global_scaffold,validation,2095,0.5498806682577566,0.5,0.8320551836632497,0.8576984395914257,0.47675723778161466,0.7350835322195705,0.7393946256038648,0.6961805555555556,0.782608695652174,0.7964250248262165,0.7429365446966189,0.17034652680076506,0.06421775365898719,0.5071263276260205,0.6909722222222222,0.7538838920686836,738,205,350,802
herg_blockade,random_forest,global_scaffold,test,1883,0.5071694105151354,0.5,0.8279986233977252,0.8437683490802095,0.5051203565197835,0.7503983005841742,0.7512000135403503,0.6952879581151833,0.8071120689655172,0.7876631079478055,0.7385984427141268,0.17062787893107095,0.04491248453211591,0.5107722215190993,0.680628272251309,0.7233238904627006,749,179,291,664
herg_blockade,svm,global_scaffold,validation,2095,0.5498806682577566,0.5,0.8459109336337929,0.8707417763542991,0.5083614296394267,0.7527446300715991,0.7554536533816425,0.7282986111111112,0.782608695652174,0.803639846743295,0.7641165755919854,0.1642214763115431,0.060540496469407165,0.49411159564029156,0.7309027777777778,0.779374471682164,738,205,313,839
herg_blockade,svm,global_scaffold,test,1883,0.5071694105151354,0.5,0.8280296533670338,0.841841417592686,0.47956484554946927,0.7392458842272969,0.7395959333814768,0.7151832460732984,0.7640086206896551,0.7572062084257206,0.7355950457727517,0.17144487554642965,0.048710140032151225,0.5111404882480464,0.6282722513089005,0.7117701575532901,709,219,272,683
herg_blockade,gradient_boosting,global_scaffold,validation,2095,0.5498806682577566,0.5,0.8401153050253328,0.8678902428205396,0.5051250785597649,0.7517899761336515,0.753816038500059,0.7335069444444444,0.7741251325556734,0.7986767485822306,0.7647058823529411,0.1647946794982182,0.04925142318773895,0.49682009150103484,0.7274305555555556,0.7687188019966722,730,213,307,845
herg_blockade,gradient_boosting,global_scaffold,test,1883,0.5071694105151354,0.5,0.8125829346452429,0.8318565477390609,0.4504267498535245,0.7243759957514604,0.7248448501534573,0.6921465968586388,0.7575431034482759,0.7460496613995485,0.7180879956545356,0.17733424519775934,0.043846705142557285,0.5288770538805474,0.5958115183246073,0.6970802919708029,703,225,294,661
