epoch,train_loss,validation_loss,validation_pr_auc,learning_rate
1.0,0.4827321328222752,0.4877188934220208,0.8836114227807301,0.001
2.0,0.2622435066848993,0.5060956577459971,0.8838358059787991,0.001
3.0,0.1723851041868329,0.5905357201894125,0.8758109954515071,0.001
4.0,0.1182194510474801,0.6793814036581252,0.8659006063715032,0.001
5.0,0.0968245431780815,0.7480291194385953,0.8699542081692829,0.001
6.0,0.06989273019134998,0.8258777724372016,0.8600584287195047,0.001
7.0,0.053984354436397555,0.8703766266504923,0.8694832995711879,0.001
8.0,0.0469901236705482,0.9541243182288276,0.8418171440388841,0.0005
9.0,0.029387472779490054,0.9360178377893236,0.861309349804539,0.0005
10.0,0.01714158891700208,0.9824969636069404,0.8588976840122908,0.0005
11.0,0.013075900817057118,0.98470139503479,0.8616475546001472,0.0005
12.0,0.012776708765886723,1.0781919823752508,0.8486656983318133,0.0005
13.0,0.011123304138891399,1.0620984501308866,0.8516918300550911,0.0005
14.0,0.00766463904583361,1.1332490311728582,0.8447567892032372,0.0005
15.0,0.007298135664314032,1.1749478512340121,0.8458957167545005,0.00025
16.0,0.0068756280379602686,1.1790752477116055,0.8455600979304547,0.00025
17.0,0.00617182349669747,1.1751000947422452,0.8496919016053441,0.00025
18.0,0.006267590231436771,1.210066921181149,0.8470483606012686,0.00025
19.0,0.006408333394210786,1.2306658029556274,0.8442186082314508,0.00025
20.0,0.006813986561610363,1.2409588694572449,0.8441152088370882,0.00025
21.0,0.005330919381231069,1.270938171280755,0.8394713732174606,0.00025
