epoch,train_loss,validation_loss,learning_rate,epoch_seconds
1.0,1.1713393880770757,1.1478433879938992,0.001,6.130949300015345
2.0,1.1513802785139817,1.1630507165735418,0.001,4.662445700028911
3.0,1.1447595082796538,1.1876072775233875,0.001,4.192541199969128
4.0,1.1309127119871287,1.1069674762812527,0.001,4.563774099980947
5.0,1.1088064312934875,1.1010323708707637,0.001,4.615460500004701
6.0,1.1036616848065304,1.082571734081615,0.001,4.313270399987232
7.0,1.0940856374227084,1.0723596648736433,0.001,4.344693500024732
8.0,1.0700839638710022,1.0536398183215747,0.001,5.165617500024382
9.0,1.0639138735257663,1.057797215201638,0.001,10.422968900005799
10.0,1.0531538055493281,1.0934691374952143,0.001,10.300165499967989
11.0,1.0117421489495497,1.0906348391012712,0.001,5.613229200011119
12.0,1.0122265338897705,1.0783272764899514,0.001,10.547640700009651
13.0,0.9762926074174735,1.1117902614853599,0.001,8.078720099991187
14.0,0.9984020113945007,1.0510252768343145,0.001,7.351230499974918
15.0,0.9594927916159997,1.0757625590671192,0.001,9.140690799977165
16.0,0.9637942653435927,1.0603396188129077,0.001,9.66377319995081
17.0,0.9389773497214684,1.0630031824111938,0.001,9.621534499980044
18.0,0.9471581752483661,1.1377782388166948,0.001,9.62692640000023
19.0,0.9342503135020916,1.0872502652081577,0.001,8.116937200014945
20.0,0.913659366277548,1.0727577913891186,0.001,5.618072299985215
21.0,0.9011379241943359,1.0916759805245833,0.0005,8.635188399988692
22.0,0.8598233222961426,1.118846665729176,0.0005,13.5796594999847
23.0,0.8711142063140869,1.0941775495355779,0.0005,6.204572599963285
24.0,0.8519838039691632,1.1462011933326721,0.0005,5.566351399989799
25.0,0.8239898865039532,1.126230164007707,0.0005,6.692656900035217
26.0,0.8226072769898635,1.1211979335004634,0.0005,5.950651099963579
27.0,0.8366169186738821,1.1106322841210798,0.0005,5.463406099996064
28.0,0.8079240019504841,1.1538407043977217,0.00025,7.387514900008682
29.0,0.7861355680685777,1.1656086228110574,0.00025,7.6377142000128515
30.0,0.7800096158797925,1.1708044843240217,0.00025,6.659677700023167
31.0,0.7829891113134531,1.1872431960972873,0.00025,5.899936000001617
32.0,0.776247180883701,1.2776711691509595,0.00025,7.416391899983864
33.0,0.7813889219210698,1.1920933344147422,0.00025,8.199107299966272
34.0,0.7661985764136681,1.2234851230274548,0.00025,8.472431599977426
