endpoint,metric,single_task,multitask,transfer,category
herg_blockade,pr_auc,0.8217543464460686,0.8243616758103592,0.0026073293642906,neutral
ames_mutagenicity,pr_auc,0.8790324615631269,0.856216835448409,-0.0228156261147178,negative
SR-p53,pr_auc,0.3187448427255981,0.3023867195243253,-0.0163581232012727,negative
SR-ATAD5,pr_auc,0.175134029159986,0.2154507163723479,0.0403166872123619,positive
SR-ARE,pr_auc,0.5014589365111585,0.5015383133717874,7.937686062897686e-05,neutral
SR-MMP,pr_auc,0.6352215163004525,0.6120717218768364,-0.023149794423616,negative
