endpoint,model,split_strategy,partition,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp,family,best_epoch,best_validation_loss
herg_blockade,dummy,global_scaffold,test,1883,0.5071694105151354,0.5,0.5,0.5071694105151354,0.0,0.4928305894848646,0.5,0.0,1.0,0.0,0.0,0.2503548517820155,0.0201556996690759,0.6938570817127248,0.0,0.5071694105151354,928,0,955,0,qsar,,
herg_blockade,logistic_regression,global_scaffold,test,1883,0.5071694105151354,0.5,0.7409336071493049,0.7464676283856722,0.3582413702005012,0.6792352628783855,0.679062669254378,0.6910994764397905,0.6670258620689655,0.6811145510835913,0.6860706860706861,0.270122687809709,0.2404957376037428,1.46940451384707,0.2942408376963351,0.6293245469522241,619,309,295,660,qsar,,
herg_blockade,random_forest,global_scaffold,test,1883,0.5071694105151354,0.5,0.8279986233977252,0.8437683490802095,0.5051203565197835,0.7503983005841742,0.7512000135403503,0.6952879581151833,0.8071120689655172,0.7876631079478055,0.7385984427141268,0.1706278789310709,0.0449124845321159,0.5107722215190993,0.680628272251309,0.7233238904627006,749,179,291,664,qsar,,
herg_blockade,svm,global_scaffold,test,1883,0.5071694105151354,0.5,0.8280296533670338,0.841841417592686,0.4795648455494692,0.7392458842272969,0.7395959333814768,0.7151832460732984,0.7640086206896551,0.7572062084257206,0.7355950457727517,0.1714448755464296,0.0487101400321512,0.5111404882480464,0.6282722513089005,0.7117701575532901,709,219,272,683,qsar,,
herg_blockade,gradient_boosting,global_scaffold,test,1883,0.5071694105151354,0.5,0.8125829346452429,0.8318565477390609,0.4504267498535245,0.7243759957514604,0.7248448501534573,0.6921465968586388,0.7575431034482759,0.7460496613995485,0.7180879956545356,0.1773342451977593,0.0438467051425572,0.5288770538805474,0.5958115183246073,0.6970802919708029,703,225,294,661,qsar,,
herg_blockade,xgboost,global_scaffold,test,1883,0.5071694105151354,0.5,0.8135431711500272,0.8337108754584308,0.45210190256053,0.724907063197026,0.7254750406210507,0.6858638743455497,0.7650862068965517,0.7502863688430699,0.7166301969365426,0.1760586132527807,0.0343538395233503,0.5261843446030148,0.6167539267015707,0.6945454545454546,710,218,300,655,qsar,,
ames_mutagenicity,dummy,global_scaffold,test,1120,0.5473214285714286,0.5,0.5,0.5473214285714286,0.0,0.5473214285714286,0.5,1.0,0.0,0.5473214285714286,0.7074437391806117,0.2480333896828244,0.0165138513032332,0.6892101758922655,0.0,0.5473214285714286,0,507,0,613,qsar,,
ames_mutagenicity,logistic_regression,global_scaffold,test,1120,0.5473214285714286,0.5,0.7227879829209984,0.7321032936427239,0.3386042848710728,0.6714285714285714,0.6696525961176483,0.6884176182707994,0.650887573964497,0.7045075125208681,0.6963696369636964,0.2989081262174912,0.2915091361932834,2.6794863964377877,0.3148450244698205,0.6726027397260274,330,177,191,422,qsar,,
ames_mutagenicity,random_forest,global_scaffold,test,1120,0.5473214285714286,0.5,0.8654626420971004,0.8905249953426637,0.5634143385515324,0.7839285714285714,0.7812935381011676,0.8091353996737357,0.7534516765285996,0.7987117552334944,0.8038897893030794,0.1512991152870501,0.0446536769471569,0.46395025058581,0.802610114192496,0.8092105263157895,382,125,117,496,qsar,,
ames_mutagenicity,svm,global_scaffold,test,1120,0.5473214285714286,0.5,0.8652631511208496,0.8921380287014782,0.5718022551994112,0.7875,0.7862615069290938,0.799347471451876,0.7731755424063116,0.8099173553719008,0.8045977011494253,0.1483650011278285,0.0184873439406665,0.4553596147796815,0.8123980424143556,0.8049180327868852,392,115,123,490,qsar,,
ames_mutagenicity,gradient_boosting,global_scaffold,test,1120,0.5473214285714286,0.5,0.8535189242931747,0.8705881002995803,0.5478126530833942,0.7758928571428572,0.773952591934773,0.7944535073409462,0.7534516765285996,0.795751633986928,0.7951020408163265,0.1548515400752133,0.0294885041146699,0.4781984122755544,0.7814029363784666,0.7964458804523424,382,125,126,487,qsar,,
ames_mutagenicity,xgboost,global_scaffold,test,1120,0.5473214285714286,0.5,0.8549845394493405,0.8844778632405144,0.5248215832860699,0.7633928571428571,0.7632154727775258,0.765089722675367,0.7613412228796844,0.7949152542372881,0.7797173732335827,0.155246173332565,0.0246051967160643,0.4699453969601736,0.732463295269168,0.7893890675241158,386,121,144,469,qsar,,
SR-p53,dummy,global_scaffold,test,986,0.0851926977687626,0.5,0.5,0.0851926977687626,0.0,0.9148073022312372,0.5,0.0,1.0,0.0,0.0,0.0787921715936027,0.029279166278428,0.2983271263537753,0.0,0.0851926977687626,902,0,84,0,qsar,,
SR-p53,logistic_regression,global_scaffold,test,986,0.0851926977687626,0.5,0.6381387921022068,0.1699476357307606,0.1724763555307346,0.859026369168357,0.5936675113504382,0.2738095238095238,0.9135254988913526,0.2277227722772277,0.2486486486486486,0.123146037205553,0.1238809643657138,0.9536400872801032,0.0,0.0998531571218795,824,78,61,23,qsar,,
SR-p53,random_forest,global_scaffold,test,986,0.0851926977687626,0.5,0.7628616302396791,0.3361845813202994,0.0948319428077105,0.9148073022312372,0.510796114454651,0.0238095238095238,0.9977827050997784,0.5,0.0454545454545454,0.0686273451101087,0.0165321115391908,0.2678852716274486,0.0119047619047619,0.128060263653484,900,2,82,2,qsar,,
SR-p53,svm,global_scaffold,test,986,0.0851926977687626,0.5,0.786539172209904,0.3331423909171807,0.2770934473658945,0.920892494929006,0.5627045718509134,0.1309523809523809,0.9944567627494456,0.6875,0.22,0.0677202641884757,0.0222468122137885,0.2457826217751533,0.0119047619047619,0.1552511415525114,897,5,73,11,qsar,,
SR-p53,gradient_boosting,global_scaffold,test,986,0.0851926977687626,0.5,0.7316677225213811,0.2755438922107917,0.2386719255165059,0.9178498985801216,0.5556435434484215,0.119047619047619,0.992239467849224,0.5882352941176471,0.198019801980198,0.0732478337550748,0.0518832186139656,0.3181772735598476,0.0119047619047619,0.1379310344827586,895,7,74,10,qsar,,
SR-p53,xgboost,global_scaffold,test,986,0.0851926977687626,0.5,0.7812071059022279,0.3548350712164161,0.2397385336482136,0.9188640973630832,0.5507998099461514,0.1071428571428571,0.9944567627494456,0.6428571428571429,0.1836734693877551,0.0662616723282181,0.0271577218830354,0.2492709766087448,0.0,0.1319702602230483,897,5,75,9,qsar,,
SR-ATAD5,dummy,global_scaffold,test,1027,0.0642648490749756,0.5,0.5,0.0642648490749756,0.0,0.9357351509250244,0.5,0.0,1.0,0.0,0.0,0.0612072308974591,0.0327467960129369,0.2521434277241524,0.0,0.0642648490749756,961,0,66,0,qsar,,
SR-ATAD5,logistic_regression,global_scaffold,test,1027,0.0642648490749756,0.5,0.6950698451739035,0.1407534250428012,0.1275715850125138,0.8958130477117819,0.5633336486614322,0.1818181818181818,0.9448491155046826,0.1846153846153846,0.183206106870229,0.0908157887266166,0.0886766787196667,0.6148071485076153,0.0,0.0981481481481481,908,53,54,12,qsar,,
SR-ATAD5,random_forest,global_scaffold,test,1027,0.0642648490749756,0.5,0.7992778986535491,0.2230724989808757,0.132963887619628,0.9367088607594936,0.5146312237883518,0.0303030303030303,0.9989594172736732,0.6666666666666666,0.0579710144927536,0.0567226742010202,0.0324028695558853,0.2324575113324808,0.0,0.1428571428571428,960,1,64,2,qsar,,
SR-ATAD5,svm,global_scaffold,test,1027,0.0642648490749756,0.5,0.7986787752656639,0.2652412515815122,0.1528081362171832,0.9367088607594936,0.521686690000946,0.0454545454545454,0.9979188345473464,0.6,0.0845070422535211,0.0571375762106506,0.0358391028386629,0.2185768684587443,0.0151515151515151,0.1215596330275229,959,2,63,3,qsar,,
SR-ATAD5,gradient_boosting,global_scaffold,test,1027,0.0642648490749756,0.5,0.7144073408381422,0.2005719455828842,0.0748101104448508,0.9328140214216164,0.5125500583356983,0.0303030303030303,0.9947970863683664,0.2857142857142857,0.0547945205479452,0.0597071811267635,0.0506522967787463,0.3291695813723927,0.0,0.0871710526315789,956,5,64,2,qsar,,
SR-ATAD5,xgboost,global_scaffold,test,1027,0.0642648490749756,0.5,0.8188755399993694,0.2614719545094638,-0.011576128502124,0.9337877312560856,0.4989594172736732,0.0,0.9979188345473464,0.0,0.0,0.0570490177234692,0.0401916071099701,0.2222078731845747,0.0,0.1597633136094674,959,2,66,0,qsar,,
SR-ARE,dummy,global_scaffold,test,847,0.2054309327036599,0.5,0.5,0.2054309327036599,0.0,0.79456906729634,0.5,0.0,1.0,0.0,0.0,0.1663244620601552,0.0556362963180595,0.5189491403954424,0.0,0.2054309327036599,673,0,174,0,qsar,,
SR-ARE,logistic_regression,global_scaffold,test,847,0.2054309327036599,0.5,0.6421538487814044,0.3046884687892838,0.1678902856952184,0.69185360094451,0.59303000802719,0.425287356321839,0.7607726597325408,0.3148936170212766,0.3618581907090464,0.2753489903873413,0.2739215129203346,2.276899913041184,0.0,0.2410865874363327,512,161,100,74,qsar,,
SR-ARE,random_forest,global_scaffold,test,847,0.2054309327036599,0.5,0.7883896090587692,0.5261149249858019,0.2384256144455203,0.8087367178276269,0.5579195914672679,0.132183908045977,0.9836552748885586,0.6764705882352942,0.2211538461538461,0.1334353068260066,0.0392235684479857,0.4244520901628223,0.0977011494252873,0.3529411764705882,662,11,151,23,qsar,,
SR-ARE,svm,global_scaffold,test,847,0.2054309327036599,0.5,0.8146444979590444,0.565105493617134,0.3271276064082939,0.8217237308146399,0.5980512715410496,0.2183908045977011,0.9777117384843982,0.7169811320754716,0.3348017621145374,0.1267799218563167,0.0386747910082491,0.4007341298196813,0.1379310344827586,0.3825136612021858,658,15,136,38,qsar,,
SR-ARE,gradient_boosting,global_scaffold,test,847,0.2054309327036599,0.5,0.7445645676418848,0.4788512788636447,0.3122018883140944,0.8158205430932703,0.6049896671278031,0.2471264367816092,0.962852897473997,0.6323529411764706,0.3553719008264462,0.1415015160797111,0.0692714034588736,0.4782352724192786,0.1206896551724138,0.3032258064516129,648,25,131,43,qsar,,
SR-ARE,xgboost,global_scaffold,test,847,0.2054309327036599,0.5,0.7883341018940753,0.5435344705237399,0.3418528556760596,0.8252656434474617,0.5938882341889976,0.2011494252873563,0.986627043090639,0.7954545454545454,0.3211009174311927,0.1312151736744113,0.0605273727121968,0.4204804350266689,0.293103448275862,0.3560606060606061,664,9,139,35,qsar,,
SR-MMP,dummy,global_scaffold,test,842,0.2209026128266033,0.5,0.5,0.2209026128266033,0.0,0.7790973871733967,0.5,0.0,1.0,0.0,0.0,0.1779710879398504,0.0765926854658284,0.5490415311294253,0.0,0.2209026128266033,656,0,186,0,qsar,,
