endpoint,metric,single_task,multitask,transfer,category
herg_blockade,pr_auc,0.8217543464460686,0.8243616758103592,0.0026073293642906448,neutral
ames_mutagenicity,pr_auc,0.8790324615631269,0.856216835448409,-0.02281562611471788,negative
SR-p53,pr_auc,0.3187448427255981,0.30238671952432533,-0.01635812320127278,negative
SR-ATAD5,pr_auc,0.175134029159986,0.21545071637234792,0.040316687212361924,positive
SR-ARE,pr_auc,0.5014589365111585,0.5015383133717874,7.937686062897686e-05,neutral
SR-MMP,pr_auc,0.6352215163004525,0.6120717218768364,-0.023149794423616088,negative
